Nummer;Verhalten;UE;E;RK;D;E;GGP;WIR;BSP;AM;NW;SEW;ITP;INSI;NWT
4774;SZ;0;40;1;2;1;1;1;1;1;1;1;1;1;1
4775;WZ;39;96;;4;4;4;2;1;4;2;4;3;3;2
4776;Z;14;54;1;2;2;3;1;1;1;1;3;2;1;1
4777;Z;11;37;;4;4;4;2;1;4;3;4;3;4;3
4781;SZ;0;88;1;2;2;2;1;1;2;2;3;2;1;2
4782;WZ;35;79;2;2;3;4;2;1;3;2;3;3;4;2
4783;SZ;5;118;1;2;2;2;1;1;3;1;2;2;2;1
4785;WZ;45;110;1;4;4;4;2;1;3;2;4;3;2;2
4787;WZ;21;138;2;3;4;4;4;1;4;3;4;4;4;4
4788;Z;11;85;1;1;2;3;1;1;3;1;3;2;1;2
4789;SZ;6;47;1;1;2;3;2;1;3;3;3;2;2;2
4792;Z;11;119;1;4;4;4;2;1;2;2;3;2;2;3
4796;SZ;0;5;1;4;4;3;2;1;2;2;3;2;1;2
4797;SZ;0;76;1;2;1;2;1;1;1;1;1;1;1;1
4798;SZ;8;110;1;3;4;4;2;1;3;2;4;3;4;3
4800;Z;15;150;;4;4;4;2;1;4;2;4;3;4;3
4801;SZ;0;15;;3;2;3;1;1;1;2;2;1;1;2
4808;SZ;5;75;;3;4;4;2;1;4;3;4;3;4;3
4809;SZ;7;87;1;4;4;4;2;1;4;2;4;3;3;3
